,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
0,KH,7C,,,,,0.0,1.0,0.0,1.0,17,7
1,7C,2C,,,,,0.0,1.0,0.0,1.0,9,23
2,JS,10S,,,,,1.0,0.0,0.0,1.0,27,12
3,KH,KC,,,,,1.0,0.0,0.0,1.0,26,15
4,10C,KC,,,,,1.0,0.0,0.0,1.0,23,9
5,QS,2H,,,,,0.0,0.0,1.0,1.0,12,19
6,JC,10D,,,,,1.0,0.0,0.0,1.0,29,12
7,2H,7D,,,,,0.0,1.0,0.0,1.0,9,29
8,KD,QD,,,,,1.0,0.0,0.0,1.0,26,17
9,AS,5H,,,,,1.0,1.0,1.0,0.0,13,17
10,AS,5H,7S,,,,0.0,1.0,0.0,1.0,13,22
11,7S,10S,,,,,0.0,0.0,1.0,1.0,17,19
12,2C,7S,,,,,1.0,1.0,1.0,0.0,15,12
13,2C,7S,6D,,,,1.0,0.0,0.0,1.0,25,12
14,6H,2H,,,,,1.0,1.0,1.0,0.0,18,6
15,6H,2H,JD,,,,0.0,1.0,0.0,1.0,18,6
16,KD,2H,,,,,1.0,1.0,1.0,0.0,17,10
17,KD,2H,5D,,,,0.0,0.0,1.0,1.0,17,20
18,8S,JC,,,,,0.0,1.0,0.0,1.0,18,17
19,3H,AD,,,,,1.0,1.0,1.0,0.0,5,19
20,3H,AD,AH,,,,1.0,1.0,1.0,0.0,15,19
21,3H,AD,AH,QH,,,1.0,0.0,0.0,1.0,22,19
22,6S,QD,,,,,1.0,1.0,1.0,0.0,17,12
23,6S,QD,AH,,,,0.0,0.0,1.0,1.0,17,21
24,2C,2H,,,,,1.0,1.0,1.0,0.0,14,10
25,2C,2H,10H,,,,0.0,1.0,0.0,1.0,14,10
26,4S,8H,,,,,1.0,1.0,1.0,0.0,18,17
27,4S,8H,6C,,,,1.0,1.0,1.0,0.0,20,17
28,4S,8H,6C,2S,,,0.0,1.0,0.0,1.0,20,19
29,QC,8H,,,,,0.0,1.0,0.0,1.0,18,18
30,QC,8S,,,,,1.0,0.0,0.0,1.0,28,18
31,JD,JC,,,,,0.0,1.0,0.0,1.0,20,19
32,5H,2S,,,,,0.0,1.0,0.0,1.0,7,30
33,7D,3C,,,,,1.0,1.0,1.0,0.0,11,20
34,AD,9D,,,,,0.0,1.0,0.0,1.0,20,20
35,5S,10H,,,,,0.0,0.0,1.0,1.0,15,21
36,4D,10H,,,,,1.0,1.0,1.0,0.0,21,9
37,7D,6D,,,,,1.0,1.0,1.0,0.0,18,15
38,7D,6D,5S,,,,0.0,1.0,0.0,1.0,18,23
39,9D,3D,,,,,1.0,0.0,0.0,1.0,22,16
40,9H,9D,,,,,1.0,1.0,1.0,0.0,21,14
41,7H,JD,,,,,0.0,0.0,1.0,1.0,17,21
42,8S,9D,,,,,0.0,1.0,0.0,1.0,17,17
