,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
0,6D,7C,,,,,1.0,1.0,1.0,0.0,16,15
1,6D,7C,3C,,,,0.0,0.0,1.0,1.0,16,18
2,QS,2H,,,,,1.0,0.0,0.0,1.0,22,8
3,KS,6C,,,,,1.0,0.0,0.0,1.0,25,10
4,4S,2S,,,,,1.0,1.0,1.0,0.0,14,16
5,4S,2S,8C,,,,1.0,1.0,1.0,0.0,15,16
6,4S,2S,8C,AH,,,0.0,0.0,1.0,1.0,15,16
7,5S,3C,,,,,0.0,0.0,1.0,1.0,8,21
8,QD,6H,,,,,0.0,0.0,1.0,1.0,16,17
9,3D,7D,,,,,0.0,0.0,1.0,1.0,10,17
10,9H,2S,,,,,1.0,1.0,1.0,0.0,16,14
11,9H,2S,5D,,,,1.0,1.0,1.0,0.0,21,14
12,KD,9D,,,,,0.0,1.0,0.0,1.0,19,23
13,2S,QH,,,,,1.0,0.0,0.0,1.0,22,13
14,6H,JS,,,,,1.0,0.0,0.0,1.0,26,21
15,KD,3C,,,,,0.0,1.0,0.0,1.0,13,22
16,3S,AS,,,,,1.0,1.0,1.0,0.0,14,15
17,3S,AS,JD,,,,1.0,0.0,0.0,1.0,22,15
18,JS,4C,,,,,1.0,1.0,1.0,0.0,19,12
19,JS,4C,5S,,,,1.0,0.0,0.0,1.0,22,12
20,7C,AD,,,,,1.0,1.0,1.0,0.0,15,13
21,7C,AD,7S,,,,1.0,0.0,0.0,1.0,25,13
22,QD,10D,,,,,0.0,1.0,0.0,1.0,20,29
23,2D,10S,,,,,0.0,0.0,1.0,1.0,12,20
24,2H,7D,,,,,0.0,0.0,1.0,1.0,9,20
25,KH,7C,,,,,0.0,0.0,1.0,1.0,17,20
26,2H,8D,,,,,1.0,1.0,1.0,0.0,17,13
27,2H,8D,7C,,,,0.0,0.0,1.0,1.0,17,20
28,AS,6S,,,,,1.0,1.0,1.0,0.0,12,15
29,AS,6S,5D,,,,0.0,0.0,1.0,1.0,12,15
30,9C,8H,,,,,0.0,1.0,0.0,1.0,17,22
31,3S,KH,,,,,1.0,1.0,1.0,0.0,17,13
32,3S,KH,4C,,,,0.0,0.0,1.0,1.0,17,19
33,JC,3D,,,,,0.0,0.0,1.0,1.0,13,14
34,4S,8S,,,,,0.0,0.0,1.0,1.0,12,14
35,10D,4C,,,,,0.0,1.0,0.0,1.0,14,22
36,8H,KH,,,,,0.0,1.0,0.0,1.0,18,22
37,7H,AH,,,,,0.0,1.0,0.0,1.0,18,26
38,8C,JS,,,,,1.0,0.0,0.0,1.0,25,14
39,9D,5S,,,,,1.0,1.0,1.0,0.0,16,4
40,9D,5S,2C,,,,0.0,1.0,0.0,1.0,16,24
41,AC,8H,,,,,0.0,1.0,0.0,1.0,19,22
42,5D,5C,,,,,0.0,0.0,1.0,1.0,10,13
43,7S,8S,,,,,1.0,0.0,0.0,1.0,25,16
44,2S,2H,,,,,1.0,1.0,1.0,0.0,14,18
45,2S,2H,JD,,,,1.0,0.0,0.0,1.0,22,18
46,5H,9H,,,,,0.0,0.0,1.0,1.0,14,20
47,10H,10C,,,,,0.0,1.0,0.0,1.0,20,24
48,JH,6D,,,,,0.0,1.0,0.0,1.0,16,22
49,QD,KH,,,,,0.0,1.0,0.0,1.0,20,26
50,5S,JD,,,,,1.0,1.0,1.0,0.0,18,9
51,5S,JD,3S,,,,1.0,0.0,0.0,1.0,26,9
52,7D,4C,,,,,1.0,1.0,1.0,0.0,21,15
53,3D,5S,,,,,1.0,1.0,1.0,0.0,17,11
54,3D,5S,9C,,,,0.0,0.0,1.0,1.0,17,21
55,2C,9S,,,,,0.0,0.0,1.0,1.0,11,15
56,10D,2D,,,,,0.0,0.0,1.0,1.0,12,19
57,4D,2C,,,,,1.0,1.0,1.0,0.0,9,13
58,4D,2C,3D,,,,0.0,0.0,1.0,1.0,9,13
59,JH,7S,,,,,0.0,0.0,1.0,1.0,17,21
60,QC,5S,,,,,1.0,0.0,0.0,1.0,25,14
61,QC,9D,,,,,0.0,0.0,1.0,1.0,19,21
62,3H,QH,,,,,0.0,0.0,1.0,1.0,13,19
63,QC,10D,,,,,1.0,0.0,0.0,1.0,30,10
64,QH,10D,,,,,0.0,1.0,0.0,1.0,20,30
65,KC,QD,,,,,1.0,0.0,0.0,1.0,25,8
66,7S,4H,,,,,1.0,1.0,1.0,0.0,19,17
67,7S,4H,8C,,,,1.0,1.0,1.0,0.0,20,17
68,7S,4H,8C,AH,,,1.0,0.0,0.0,1.0,25,17
69,4D,2H,,,,,0.0,0.0,1.0,1.0,6,14
70,8C,5C,,,,,1.0,1.0,1.0,0.0,20,18
71,8C,5C,7H,,,,1.0,1.0,1.0,0.0,21,18
72,10C,KS,,,,,0.0,1.0,0.0,1.0,20,29
73,4D,9D,,,,,1.0,1.0,1.0,0.0,19,20
74,4D,9D,6D,,,,1.0,1.0,1.0,0.0,21,20
75,2S,KS,,,,,1.0,0.0,0.0,1.0,22,18
76,8H,JC,,,,,1.0,0.0,0.0,1.0,28,17
77,KC,8H,,,,,1.0,0.0,0.0,1.0,22,17
78,6H,10S,,,,,1.0,1.0,1.0,0.0,18,9
79,6H,10S,2D,,,,0.0,0.0,1.0,1.0,18,19
80,3H,6D,,,,,1.0,1.0,1.0,0.0,19,15
81,3H,6D,JS,,,,0.0,1.0,0.0,1.0,19,25
82,7C,AD,,,,,0.0,1.0,0.0,1.0,18,22
83,4D,2S,,,,,0.0,0.0,1.0,1.0,6,12
84,9S,3H,,,,,1.0,1.0,1.0,0.0,18,19
85,9S,3H,6C,,,,0.0,0.0,1.0,1.0,18,19
86,9S,2S,,,,,1.0,1.0,1.0,0.0,12,11
87,9S,2S,AS,,,,1.0,1.0,1.0,0.0,14,11
88,9S,2S,AS,2H,,,0.0,0.0,1.0,1.0,14,16
89,2C,4S,,,,,0.0,0.0,1.0,1.0,6,20
90,KH,JH,,,,,1.0,0.0,0.0,1.0,30,9
91,KC,4C,,,,,0.0,0.0,1.0,1.0,14,16
92,6C,5C,,,,,0.0,0.0,1.0,1.0,11,14
93,KD,6C,,,,,0.0,1.0,0.0,1.0,16,26
94,8H,QD,,,,,1.0,1.0,1.0,0.0,19,6
95,8H,QD,AS,,,,0.0,1.0,0.0,1.0,19,24
96,AC,3D,,,,,1.0,1.0,1.0,0.0,13,7
97,AC,3D,9D,,,,1.0,1.0,1.0,0.0,20,7
98,AC,3D,9D,7S,,,0.0,1.0,0.0,1.0,20,26
99,5C,10C,,,,,0.0,0.0,1.0,1.0,15,16
100,8D,10S,,,,,1.0,0.0,0.0,1.0,22,21
101,9C,6D,,,,,0.0,0.0,1.0,1.0,15,18
102,JS,10H,,,,,0.0,1.0,0.0,1.0,20,22
103,10D,8S,,,,,0.0,0.0,1.0,1.0,18,20
104,4H,7S,,,,,1.0,1.0,1.0,0.0,21,20
105,KS,7D,,,,,1.0,0.0,0.0,1.0,23,13
106,5D,4D,,,,,1.0,1.0,1.0,0.0,18,13
107,5D,4D,9H,,,,0.0,0.0,1.0,1.0,18,20
108,QS,8H,,,,,0.0,1.0,0.0,1.0,18,28
109,QH,8H,,,,,1.0,1.0,1.0,0.0,20,13
110,QH,8H,2H,,,,0.0,1.0,0.0,1.0,20,23
111,JS,10H,,,,,1.0,0.0,0.0,1.0,27,19
112,KC,3D,,,,,1.0,1.0,1.0,0.0,19,20
113,KC,3D,6D,,,,0.0,0.0,1.0,1.0,19,20
114,8S,10D,,,,,1.0,1.0,1.0,0.0,19,17
115,8S,10D,AH,,,,1.0,0.0,0.0,1.0,22,17
116,QH,QD,,,,,1.0,0.0,0.0,1.0,29,13
117,7D,QD,,,,,1.0,1.0,1.0,0.0,21,15
118,AH,AD,,,,,1.0,1.0,1.0,0.0,5,20
119,AH,AD,3H,,,,1.0,1.0,1.0,0.0,14,20
120,AH,AD,3H,9H,,,0.0,0.0,1.0,1.0,14,20
121,10H,JC,,,,,1.0,0.0,0.0,1.0,26,14
122,6H,6D,,,,,1.0,1.0,1.0,0.0,20,13
123,6H,6D,8D,,,,1.0,0.0,0.0,1.0,28,13
124,5S,JS,,,,,1.0,0.0,0.0,1.0,25,19
125,KS,9D,,,,,0.0,1.0,0.0,1.0,19,27
126,10D,KC,,,,,1.0,0.0,0.0,1.0,25,12
127,KH,5C,,,,,1.0,1.0,1.0,0.0,18,20
128,KH,5C,3H,,,,1.0,0.0,0.0,1.0,26,20
129,9C,5H,,,,,0.0,0.0,1.0,1.0,14,18
130,2D,4D,,,,,1.0,1.0,1.0,0.0,12,16
131,2D,4D,6C,,,,1.0,1.0,1.0,0.0,14,16
132,2D,4D,6C,2S,,,1.0,1.0,1.0,0.0,15,16
133,2D,4D,6C,2S,AH,,0.0,0.0,1.0,1.0,15,16
134,KC,5H,,,,,0.0,0.0,1.0,1.0,15,16
135,5D,7S,,,,,1.0,1.0,1.0,0.0,20,6
136,5D,7S,8S,,,,1.0,0.0,0.0,1.0,30,6
137,5C,QC,,,,,1.0,1.0,1.0,0.0,16,8
138,5C,QC,AD,,,,1.0,0.0,0.0,1.0,23,8
139,5S,AC,,,,,1.0,1.0,1.0,0.0,8,12
