,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
0,4D,5S,,,,,0.0,0.0,1.0,1.0,9,19
1,7D,3S,,,,,1.0,1.0,1.0,0.0,12,14
2,7D,3S,2H,,,,0.0,0.0,1.0,1.0,12,14
3,8S,2H,,,,,1.0,1.0,1.0,0.0,16,17
4,8S,2H,6S,,,,0.0,0.0,1.0,1.0,16,17
5,8S,KS,,,,,1.0,0.0,0.0,1.0,22,10
6,2D,2H,,,,,1.0,1.0,1.0,0.0,13,19
7,2D,2H,9H,,,,1.0,1.0,1.0,0.0,19,19
8,2D,2H,9H,6H,,,1.0,0.0,0.0,1.0,24,19
9,6S,4H,,,,,0.0,0.0,1.0,1.0,10,19
10,5D,7C,,,,,0.0,0.0,1.0,1.0,12,19
11,8D,KH,,,,,0.0,1.0,0.0,1.0,18,16
12,2S,9H,,,,,1.0,1.0,1.0,0.0,21,20
13,QH,9C,,,,,1.0,0.0,0.0,1.0,26,15
14,QD,JH,,,,,1.0,0.0,0.0,1.0,28,15
15,3D,6S,,,,,0.0,0.0,1.0,1.0,9,14
16,JH,KD,,,,,1.0,1.0,1.0,0.0,21,6
17,QH,10H,,,,,1.0,0.0,0.0,1.0,30,20
18,QD,2D,,,,,0.0,0.0,1.0,1.0,12,20
19,10S,4S,,,,,1.0,1.0,1.0,0.0,17,4
20,10S,4S,3S,,,,1.0,0.0,0.0,1.0,25,14
21,QH,8D,,,,,1.0,0.0,0.0,1.0,26,11
22,5S,3H,,,,,0.0,0.0,1.0,1.0,8,17
23,JC,QH,,,,,1.0,0.0,0.0,1.0,27,11
24,9D,8S,,,,,0.0,0.0,1.0,1.0,17,20
25,3H,4D,,,,,1.0,1.0,1.0,0.0,10,11
26,3H,4D,3C,,,,0.0,0.0,1.0,1.0,10,12
27,5C,JC,,,,,1.0,1.0,1.0,0.0,21,14
28,4H,10D,,,,,1.0,1.0,1.0,0.0,15,19
29,4H,10D,AD,,,,1.0,0.0,0.0,1.0,25,19
30,8H,10S,,,,,0.0,1.0,0.0,1.0,18,22
31,8D,4C,,,,,1.0,0.0,0.0,1.0,22,4
32,4C,7S,,,,,1.0,1.0,1.0,0.0,15,15
33,4C,7S,4D,,,,1.0,0.0,0.0,1.0,24,15
34,4S,2D,,,,,1.0,1.0,1.0,0.0,13,18
35,4S,2D,7D,,,,0.0,0.0,1.0,1.0,13,18
36,10D,6C,,,,,0.0,0.0,1.0,1.0,16,17
37,AD,AH,,,,,1.0,1.0,1.0,0.0,12,8
38,AD,AH,QD,,,,1.0,1.0,1.0,0.0,20,8
39,AD,AH,QD,8H,,,0.0,1.0,0.0,1.0,20,24
40,10C,6S,,,,,0.0,1.0,0.0,1.0,16,25
41,5C,QS,,,,,0.0,0.0,1.0,1.0,15,20
42,7S,KS,,,,,1.0,0.0,0.0,1.0,27,13
43,9D,JD,,,,,0.0,1.0,0.0,1.0,19,23
44,2S,3C,,,,,0.0,1.0,0.0,1.0,5,22
45,QS,3C,,,,,0.0,0.0,1.0,1.0,13,17
46,KS,7H,,,,,0.0,1.0,0.0,1.0,17,22
47,8S,3S,,,,,0.0,0.0,1.0,1.0,11,17
48,QC,2H,,,,,0.0,0.0,1.0,1.0,12,17
49,4C,6C,,,,,0.0,0.0,1.0,1.0,10,21
50,8D,QH,,,,,0.0,1.0,0.0,1.0,18,17
51,9S,JH,,,,,1.0,0.0,0.0,1.0,23,19
52,9D,6S,,,,,0.0,0.0,1.0,1.0,15,20
53,2C,7H,,,,,0.0,0.0,1.0,1.0,9,21
54,6C,3D,,,,,0.0,0.0,1.0,1.0,9,21
55,2D,3H,,,,,0.0,0.0,1.0,1.0,5,19
56,JD,10C,,,,,0.0,1.0,0.0,1.0,20,15
57,KS,10D,,,,,1.0,0.0,0.0,1.0,26,17
58,6S,3H,,,,,1.0,1.0,1.0,0.0,19,13
59,6S,3H,JC,,,,1.0,0.0,0.0,1.0,23,13
60,AD,3D,,,,,0.0,0.0,1.0,1.0,14,18
61,5C,JD,,,,,1.0,0.0,0.0,1.0,25,13
62,4C,JD,,,,,0.0,1.0,0.0,1.0,14,22
63,10D,8D,,,,,1.0,0.0,0.0,1.0,23,20
64,QD,6H,,,,,0.0,0.0,1.0,1.0,16,17
65,KH,KS,,,,,1.0,0.0,0.0,1.0,26,11
66,6D,10C,,,,,0.0,1.0,0.0,1.0,16,8
67,7C,3D,,,,,1.0,1.0,1.0,0.0,11,18
68,7C,3D,AH,,,,1.0,1.0,1.0,0.0,21,18
69,8S,9H,,,,,1.0,0.0,0.0,1.0,22,17
70,2D,QD,,,,,0.0,0.0,1.0,1.0,12,20
71,10C,KS,,,,,1.0,0.0,0.0,1.0,25,13
