,Show0,Show1,Show2,Show3,Show4,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
0,6C,2D,,,,KS,10D,,,,,0.0,1.0,0.0,1.0,18,20
1,2H,,,,,AD,KS,,,,,0.0,1.0,0.0,1.0,12,11
2,3D,6D,,,,5D,5S,,,,,1.0,1.0,1.0,0.0,12,11
3,3D,6D,,,,5D,5S,AC,,,,0.0,1.0,0.0,1.0,12,11
4,KC,,,,,10S,3C,,,,,1.0,0.0,0.0,0.0,20,22
5,8D,,,,,7H,10S,,,,,0.0,1.0,0.0,1.0,11,17
6,10C,,,,,9S,3D,,,,,1.0,0.0,0.0,0.0,15,22
7,AH,5D,,,,3D,3C,,,,,1.0,0.0,0.0,0.0,9,13
8,AH,5D,,,,3D,3C,7S,,,,0.0,0.0,1.0,1.0,9,13
9,AH,,,,,KC,3H,,,,,1.0,0.0,0.0,0.0,8,16
10,AH,,,,,KC,3H,3D,,,,0.0,0.0,1.0,1.0,8,16
11,QD,,,,,10C,2C,,,,,0.0,0.0,1.0,1.0,15,12
12,6D,JH,,,,3D,2C,,,,,0.0,0.0,1.0,1.0,18,5
13,7S,,,,,5D,8D,,,,,1.0,1.0,1.0,0.0,17,20
14,7S,,,,,5D,8D,7C,,,,0.0,1.0,0.0,1.0,17,20
15,4H,8C,,,,8H,10C,,,,,0.0,0.0,1.0,1.0,18,18
16,10S,,,,,5S,2S,,,,,1.0,0.0,0.0,0.0,20,15
17,10S,,,,,5S,2S,8S,,,,1.0,0.0,0.0,0.0,20,24
18,AC,2S,,,,JS,3C,,,,,1.0,0.0,0.0,0.0,7,23
19,QD,,,,,8D,8S,,,,,1.0,0.0,0.0,0.0,18,17
20,QD,,,,,8D,8S,AS,,,,1.0,1.0,1.0,0.0,18,20
21,QD,,,,,8D,8S,AS,3H,,,0.0,1.0,0.0,1.0,18,20
22,10S,,,,,9H,7D,,,,,1.0,0.0,0.0,0.0,20,25
23,8S,,,,,AD,3D,,,,,0.0,1.0,0.0,1.0,13,4
24,7S,,,,,5H,JD,,,,,0.0,0.0,1.0,1.0,16,15
25,5D,,,,,7D,4C,,,,,1.0,1.0,1.0,0.0,10,17
26,5D,,,,,7D,4C,6D,,,,1.0,0.0,0.0,0.0,10,27
