,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
0,8D,4S,,,,,1.0,0.0,0.0,1.0,22,6
1,7S,6S,,,,,1.0,0.0,0.0,1.0,23,21
2,10S,8H,,,,,0.0,1.0,0.0,1.0,18,27
3,4C,KC,,,,,1.0,1.0,1.0,0.0,20,15
4,4C,KC,6H,,,,0.0,0.0,1.0,1.0,20,21
5,JC,6S,,,,,0.0,0.0,1.0,1.0,16,17
6,KH,QD,,,,,0.0,1.0,0.0,1.0,20,23
7,AD,4C,,,,,1.0,1.0,1.0,0.0,15,20
8,AD,4C,KC,,,,1.0,1.0,1.0,0.0,17,20
9,AD,4C,KC,2D,,,0.0,0.0,1.0,1.0,17,20
10,9C,5D,,,,,1.0,1.0,1.0,0.0,16,6
11,9C,5D,2C,,,,1.0,0.0,0.0,1.0,24,16
12,4D,8H,,,,,1.0,0.0,0.0,1.0,22,16
13,10C,KC,,,,,0.0,0.0,1.0,1.0,20,21
14,4S,QD,,,,,0.0,1.0,0.0,1.0,14,23
15,2C,AC,,,,,0.0,1.0,0.0,1.0,13,26
16,4C,2C,,,,,1.0,1.0,1.0,0.0,11,15
17,4C,2C,5C,,,,1.0,1.0,1.0,0.0,15,15
18,4C,2C,5C,4D,,,0.0,1.0,0.0,1.0,15,25
19,JD,9C,,,,,0.0,0.0,1.0,1.0,19,20
20,2C,2H,,,,,1.0,1.0,1.0,0.0,11,13
21,2C,2H,7D,,,,0.0,1.0,0.0,1.0,11,22
22,QC,JS,,,,,1.0,0.0,0.0,1.0,28,10
23,KS,9S,,,,,1.0,0.0,0.0,1.0,28,11
24,3S,9S,,,,,1.0,1.0,1.0,0.0,21,9
25,8S,4H,,,,,1.0,0.0,0.0,1.0,22,12
26,6S,KH,,,,,1.0,0.0,0.0,1.0,26,16
27,QC,6C,,,,,1.0,1.0,1.0,0.0,18,20
28,QC,6C,2D,,,,0.0,0.0,1.0,1.0,18,20
29,6S,3S,,,,,1.0,1.0,1.0,0.0,18,12
30,6S,3S,9C,,,,1.0,0.0,0.0,1.0,26,12
31,3C,AH,,,,,1.0,1.0,1.0,0.0,8,17
32,3C,AH,4D,,,,1.0,1.0,1.0,0.0,18,17
33,3C,AH,4D,KH,,,1.0,0.0,0.0,1.0,28,17
34,JS,2H,,,,,0.0,0.0,1.0,1.0,12,21
35,3C,3D,,,,,1.0,1.0,1.0,0.0,12,10
36,3C,3D,6D,,,,0.0,0.0,1.0,1.0,12,21
37,KS,KC,,,,,0.0,1.0,0.0,1.0,20,22
38,3C,8D,,,,,0.0,0.0,1.0,1.0,11,17
39,5S,10C,,,,,0.0,1.0,0.0,1.0,15,22
40,QH,6H,,,,,1.0,0.0,0.0,1.0,23,8
41,7S,8D,,,,,1.0,1.0,1.0,0.0,20,6
42,7S,8D,5C,,,,1.0,0.0,0.0,1.0,28,16
43,3S,AH,,,,,1.0,1.0,1.0,0.0,9,6
44,3S,AH,5D,,,,0.0,1.0,0.0,1.0,19,13
45,3C,AH,,,,,1.0,1.0,1.0,0.0,5,15
46,3C,AH,AC,,,,1.0,1.0,1.0,0.0,11,15
47,7H,AH,,,,,0.0,1.0,0.0,1.0,18,16
48,4D,3C,,,,,1.0,1.0,1.0,0.0,15,15
49,4D,3C,8H,,,,1.0,1.0,1.0,0.0,16,15
50,4D,3C,8H,AH,,,1.0,0.0,0.0,1.0,22,15
51,5D,AS,,,,,1.0,1.0,1.0,0.0,12,10
52,5D,AS,6C,,,,1.0,1.0,1.0,0.0,21,10
53,5S,QD,,,,,0.0,1.0,0.0,1.0,15,12
54,2D,6D,,,,,1.0,1.0,1.0,0.0,18,5
55,2D,6D,JH,,,,0.0,1.0,0.0,1.0,18,5
56,QS,7S,,,,,0.0,0.0,1.0,1.0,17,20
57,QD,3S,,,,,1.0,0.0,0.0,1.0,23,20
58,6C,4H,,,,,1.0,1.0,1.0,0.0,18,18
59,6C,4H,8C,,,,0.0,1.0,0.0,1.0,18,18
60,QC,10S,,,,,0.0,1.0,0.0,1.0,20,24
61,4S,AC,,,,,1.0,1.0,1.0,0.0,7,13
62,4S,AC,2S,,,,0.0,1.0,0.0,1.0,17,23
63,8C,QD,,,,,0.0,0.0,1.0,1.0,18,20
64,6S,6C,,,,,1.0,1.0,1.0,0.0,19,19
65,6S,6C,7H,,,,1.0,0.0,0.0,1.0,29,19
66,QH,10S,,,,,0.0,1.0,0.0,1.0,20,25
67,5H,8S,,,,,0.0,0.0,1.0,1.0,13,14
68,9S,7S,,,,,0.0,1.0,0.0,1.0,16,15
69,3H,8H,,,,,1.0,1.0,1.0,0.0,21,7
70,5S,5D,,,,,0.0,1.0,0.0,1.0,10,27
71,JD,9D,,,,,1.0,0.0,0.0,1.0,25,11
