,Card0,Card1,Card2,Card3,Card4,H/S,W/L,Answer,Final,P_Score,D_Score
0,4D,KC,,,,0.0,1.0,0.0,1.0,14,23
1,7H,7S,,,,0.0,0.0,1.0,1.0,14,16
2,KH,8C,,,,0.0,1.0,0.0,1.0,18,18
3,8H,10S,,,,0.0,1.0,0.0,1.0,18,16
4,10H,7S,,,,0.0,1.0,0.0,1.0,17,25
5,KD,10S,,,,0.0,1.0,0.0,1.0,20,19
6,4H,5C,,,,1.0,1.0,1.0,0.0,19,15
7,4H,5C,KH,,,0.0,1.0,0.0,1.0,19,25
8,QS,6S,,,,0.0,0.0,1.0,1.0,16,17
9,QC,QS,,,,1.0,1.0,1.0,0.0,21,13
10,9D,KC,,,,0.0,1.0,0.0,1.0,19,22
11,10D,4S,,,,1.0,1.0,1.0,0.0,16,20
12,10D,4S,2H,,,0.0,0.0,1.0,1.0,16,20
13,8C,AC,,,,0.0,0.0,1.0,1.0,19,20
14,3D,7H,,,,1.0,1.0,1.0,0.0,13,17
15,3D,7H,3H,,,1.0,0.0,0.0,1.0,23,17
16,10D,8D,,,,0.0,0.0,1.0,1.0,18,19
17,5D,4H,,,,1.0,1.0,1.0,0.0,11,9
18,5D,4H,2H,,,1.0,1.0,1.0,0.0,16,9
19,5D,4H,2H,5C,,0.0,0.0,1.0,1.0,16,19
20,10S,4H,,,,1.0,0.0,0.0,1.0,22,17
21,3D,5D,,,,1.0,1.0,1.0,0.0,12,16
22,3D,5D,4C,,,1.0,1.0,1.0,0.0,14,16
23,3D,5D,4C,2C,,0.0,0.0,1.0,1.0,14,16
24,3H,QD,,,,1.0,1.0,1.0,0.0,15,13
25,3H,QD,2C,,,0.0,1.0,0.0,1.0,15,23
26,2S,10H,,,,1.0,1.0,1.0,0.0,14,20
27,2S,10H,2H,,,1.0,1.0,1.0,0.0,17,20
28,2S,10H,2H,3D,,0.0,0.0,1.0,1.0,17,20
29,2H,AH,,,,1.0,1.0,1.0,0.0,5,17
30,2H,AH,2C,,,1.0,1.0,1.0,0.0,15,17
31,2H,AH,2C,JS,,0.0,0.0,1.0,1.0,15,17
32,JH,KD,,,,0.0,1.0,0.0,1.0,20,22
33,9D,QH,,,,0.0,1.0,0.0,1.0,19,16
34,2S,KC,,,,1.0,1.0,1.0,0.0,13,11
