,0,1,2,3,4,5,Next
0,QS,JD,4H,,,,
1,AC,10S,QH,,,,
2,8C,KH,7D,,,,
3,10D,AH,AC,7D,,,
4,2S,JC,6C,9C,,,
5,4H,10S,10C,,,,
6,JS,8H,8C,,,,
7,8D,10S,2C,2D,,,
8,10H,9D,9C,,,,
9,JS,5C,AD,,,,
10,QC,8H,7H,,,,
11,AH,7D,JH,KS,,,
12,KS,JC,KD,,,,
13,2S,KS,QS,,,,
14,9S,AH,7H,,,,
15,4C,JS,KS,,,,
16,8H,7H,9H,,,,
17,8H,QC,4D,,,,
18,6D,7D,6H,10S,,,
19,7C,2D,3C,5C,JC,,
20,JH,4H,JC,,,,
21,4H,6D,10H,,,,
22,5H,QH,2D,2C,,,
23,7H,QH,AD,JH,,,
24,QH,6S,10H,,,,
25,AS,4S,KS,JC,,,
26,4S,JS,6D,,,,
27,8C,9C,2D,5H,,,
28,4H,QD,6H,,,,
29,AH,3S,3C,7S,JC,,
30,QC,KH,10D,,,,
31,4H,2D,QH,6S,,,
32,KH,6H,10H,,,,
33,5D,8S,10D,,,,
34,8S,AS,9S,,,,
35,KS,7S,3D,,,,
36,JH,QC,7H,,,,
37,6D,6H,10C,,,,
38,7C,4H,KH,,,,
39,5H,10S,KC,,,,
40,9C,AC,KC,8D,,,
41,JD,10S,6C,,,,
42,8D,9S,JD,,,,
43,KH,3H,5D,,,,
44,QD,10H,2S,,,,
45,9C,QD,6S,,,,
46,2D,3D,4S,JS,10H,,
47,AH,9S,QD,,,,
48,6D,9C,7C,,,,
49,JS,KH,8S,,,,
50,5C,KH,10S,,,,
51,7D,5C,6S,,,,
52,2C,6D,JD,JH,,,
53,7S,JH,2C,9D,,,
54,3S,QD,AD,,,,
55,10S,10C,10H,,,,
56,9D,3C,10H,,,,
57,7S,7D,KS,,,,
58,8D,5C,KS,,,,
59,6C,6H,3S,QS,,,
60,10S,7S,KH,,,,
61,8S,JS,4C,,,,
62,AS,4H,9H,JS,,,
63,6S,2H,9D,AD,,,
64,5H,2C,10C,,,,
65,3H,JH,JD,,,,
66,6C,8C,9H,,,,
67,4S,2C,AH,JC,9D,,
68,QS,2S,KH,,,,
69,KH,QD,AH,,,,
70,6S,2H,KD,10C,,,
71,3H,10H,AS,QS,,,
72,KD,QH,JH,,,,
73,QD,8H,JD,,,,
74,3C,7S,5S,4S,8C,,
75,9C,8S,3D,,,,
76,5S,5C,10D,,,,
77,5C,10H,10S,,,,
78,KS,JH,2C,,,,
79,7C,2H,JH,3D,,,
80,6H,JD,7C,,,,
81,3S,7C,QC,5H,,,
82,8C,7D,AC,,,,
83,2D,8S,4H,8D,,,
84,7H,8S,6D,,,,
85,6S,7D,QH,,,,
86,8H,AD,9S,10C,,,
87,3D,4D,AC,,,,
88,4D,4C,KH,6S,,,
89,5D,QH,8S,,,,
90,6D,3S,KH,,,,
91,AD,QC,9H,10S,,,
92,KH,6C,JH,,,,
93,4D,5D,9H,5S,,,
94,9D,5C,9C,,,,
95,5H,10S,6D,,,,
96,2C,9H,AH,QD,,,
97,5C,6C,JD,,,,
98,QH,9D,AS,2S,,,
99,AS,QC,10D,,,,
100,3H,9D,7D,6H,,,
101,7C,9D,6H,,,,
102,7S,3H,3C,6S,,,
103,3H,6D,AD,10S,,,
104,7C,QC,7D,,,,
105,10C,4H,5S,6C,,,
106,3C,5D,4H,2D,9D,,
107,10C,3C,6C,,,,
108,7H,2D,JD,AC,QD,,
109,10H,2D,7D,3D,,,
110,QH,6C,5H,,,,
111,AD,AC,5C,5S,5H,,
112,6H,JH,KS,,,,
113,8C,9S,QS,,,,
114,2H,10C,5H,,,,
115,AS,3C,KD,10H,,,
116,9H,4S,JS,,,,
117,KD,6S,3C,7S,,,
118,10S,8D,JS,,,,
119,2H,10C,7S,9D,,,
120,6S,JS,3C,8H,,,
121,AD,8S,2S,,,,
122,QC,8H,6H,,,,
123,9H,9D,3H,,,,
124,2H,5H,6D,,,,
125,5S,JH,2H,JD,,,
126,3C,2S,KS,7H,,,
127,5S,6D,QD,,,,
128,5C,5H,3C,6D,,,
129,5D,3C,10C,,,,
130,7D,QS,AC,QC,,,
131,AD,KD,10H,,,,
132,3H,QH,4D,JD,,,
133,2S,8D,AC,,,,
134,AC,8S,2C,KC,,,
135,JH,9S,9D,,,,
136,AH,7S,9S,10S,,,
137,2D,AH,3S,10S,,,
138,3D,2H,QH,JD,,,
139,QC,4C,JH,,,,
140,QH,10H,8H,,,,
141,6D,6H,QC,,,,
142,9C,10C,3H,,,,
143,AH,6H,QC,2C,,,
144,2D,8H,8D,JS,,,
145,7D,JD,5D,,,,
146,4H,AD,7D,6H,3S,,
147,2C,6H,9S,,,,
148,4H,2C,3C,6H,6S,,
149,8D,7C,9S,,,,
150,9D,AD,10S,,,,
151,3D,9C,3S,2S,JS,,
152,9C,8S,10S,,,,
153,5S,10H,4H,10D,,,
154,6S,QS,4S,,,,
155,3D,10H,4C,5C,,,
156,6D,7C,8S,,,,
157,4D,6D,4C,9S,,,
158,KD,AC,8H,7C,,,
159,QC,4S,6C,,,,
160,6C,4S,AH,,,,
161,AD,KH,8H,3C,,,
162,3H,QC,KH,,,,
163,9C,8C,JH,,,,
164,JS,3D,KC,,,,
165,QS,10D,3H,,,,
166,3C,7C,4C,,,,
167,4S,4C,KC,4H,,,
168,3D,6S,5S,2S,,,
169,10H,QH,7S,,,,
170,2D,AD,AC,,,,
171,7S,3C,4H,QS,,,
172,JS,AC,KC,,,,
173,4S,7S,8C,,,,
174,JC,QC,8C,,,,
175,4D,7C,3D,QD,,,
176,KC,6H,KD,,,,
177,4H,QH,6H,,,,
178,8D,10H,QD,,,,
179,3H,5C,3C,,,,
180,JD,JS,4D,,,,
181,5H,KH,9D,,,,
182,KC,AC,4H,5D,,,
183,2D,QH,KH,,,,
184,6C,6D,KH,,,,
185,JH,4C,3D,AC,10S,,
186,2D,10C,8C,6H,,,
187,9S,9C,4D,,,,
188,8S,JH,4C,,,,
189,QC,5H,AC,KS,,,
190,8C,QC,10S,,,,
191,AS,JD,9H,JC,,,
192,2D,KS,8C,9D,,,
193,QH,7H,4D,,,,
194,2H,3D,10D,,,,
195,JS,8C,3H,,,,
196,8D,3H,KH,,,,
197,3C,2H,QC,AS,2D,,
198,KS,9H,3C,,,,
199,7H,QC,JS,,,,
200,3S,KH,QC,,,,
201,2S,3S,7C,JC,,,
202,6S,8D,QH,,,,
203,9S,5S,2D,,,,
204,KS,5C,6S,,,,
205,7D,9S,8C,,,,
206,4D,10D,7H,,,,
207,6D,AD,AC,4D,3S,JH,
208,6C,7S,7D,,,,
209,10C,AS,10S,,,,
210,2C,2D,KH,9C,,,
211,4H,10C,6C,8S,,,
212,8H,4C,4D,,,,
213,KD,9C,5H,,,,
214,KD,9H,8H,,,,
215,2H,AH,8C,9C,QS,,
216,2D,4C,6C,KC,,,
217,AC,3H,2D,3S,4D,4C,
218,AD,3S,KC,9D,,,
219,8H,8C,5S,,,,
220,AS,4H,KH,,,,
221,5D,4S,KH,KS,,,
222,4C,AH,AC,,,,
223,8S,4S,KC,,,,
224,KS,8D,7H,,,,
225,4C,2S,3H,,,,
226,3D,4S,KH,5D,,,
227,5D,5S,JD,8C,,,
228,10S,7H,5D,,,,
229,7D,10C,3C,10D,,,
230,JS,7S,8C,,,,
231,JH,8S,8D,,,,
232,10D,6H,4D,6C,,,
233,3D,10C,4C,,,,
234,10C,8H,3H,,,,
235,9D,QH,3C,,,,
236,6D,7D,9S,,,,
237,4D,9H,6H,10D,,,
238,3H,7D,KS,,,,
239,9H,5D,6H,,,,
240,3C,4H,8D,,,,
241,10C,10D,KD,,,,
242,10H,9C,5C,,,,
243,QH,JH,4C,,,,
244,AC,4H,AS,,,,
245,7C,9C,QS,,,,
246,6S,6H,JC,,,,
247,AH,6C,7D,,,,
248,10C,JS,7C,,,,
249,10C,5H,3C,,,,
250,AH,6S,QH,10H,,,
251,10S,5D,10D,,,,
252,KH,7C,4C,,,,
253,8D,JD,4S,,,,
254,10S,9D,2H,,,,
255,KC,4H,AC,7S,,,
256,QS,KS,9D,,,,
257,JH,4D,KD,,,,
258,2S,5D,3S,3D,,,
259,10D,3S,KD,,,,
260,QH,4D,5C,9S,,,
261,6H,QC,5S,,,,
262,KH,3S,8D,,,,
263,4C,4H,2D,,,,
264,2H,9D,AC,,,,
265,3S,JS,KC,,,,
266,5H,9C,JC,,,,
267,6C,9S,QH,,,,
268,4S,3S,7S,6D,AH,,
269,2D,7H,4S,,,,
270,2D,3D,KC,3C,,,
271,10C,7H,9S,,,,
272,4D,JH,JS,,,,
273,10S,8D,KH,,,,
274,5S,3H,6S,6D,QC,,
275,7D,QS,JS,,,,
276,10C,KS,8H,,,,
277,KS,4C,KC,,,,
278,2C,7C,KC,,,,
279,QH,8C,10C,,,,
280,2C,JS,5S,,,,
281,6S,QH,9D,,,,
282,2C,9C,4D,AS,JS,,
283,AH,AC,6S,,,,
284,5C,2C,7C,10C,,,
285,8H,9S,10H,,,,
286,QD,5C,10C,,,,
287,AS,10C,6S,,,,
288,AH,QS,6C,9D,,,
289,3S,6C,5D,,,,
290,6S,8H,AH,QD,,,
291,6H,QC,2C,,,,
292,6H,4H,7H,KC,,,
293,10C,8H,10S,,,,
294,4D,KH,AS,,,,
295,8D,4D,8S,,,,
296,4S,5C,6S,,,,
297,9D,3S,4C,,,,
298,9C,AS,8S,QD,,,
299,2C,4S,6H,,,,
300,9C,3S,5D,3D,4C,,
301,5C,5S,10H,AS,,,
302,AC,8C,9D,,,,
303,4D,6D,8D,,,,
304,3S,KS,2D,4D,,,
305,7D,KC,JS,,,,
306,2D,2S,4D,8C,,,
307,9S,7D,10C,,,,
308,4C,QC,6D,8H,,,
309,AD,KH,10S,,,,
310,6H,7S,5D,,,,
311,AS,AD,QS,7H,,,
312,9H,JS,AD,JH,,,
313,QC,7C,9S,,,,
314,7C,6S,8D,,,,
315,3D,KH,4S,2H,,,
316,KH,8C,2H,,,,
317,AH,3C,4C,QH,6S,,
318,2D,7C,3D,JD,,,
319,10D,QD,2H,,,,
320,10D,9S,2C,,,,
321,3S,8D,5C,,,,
322,QS,KD,8D,,,,
323,6D,KD,2D,QH,,,
324,5S,AD,4D,QC,3H,,
325,2D,JS,4H,,,,
326,JH,3C,9D,,,,
327,10C,JS,6C,,,,
328,6S,KH,2D,,,,
329,AH,6H,3D,,,,
330,9H,KH,10C,,,,
331,8C,JD,10D,,,,
332,8S,9D,3H,AS,,,
333,5H,AD,7H,9H,,,
334,8S,10C,7D,,,,
335,8C,2D,5D,10S,,,
336,7C,7D,8C,,,,
337,8S,6H,3S,9D,,,
338,7C,7S,2S,9S,,,
339,3D,8C,JD,,,,
340,2H,AC,5D,4S,10C,,
341,5D,KD,10S,,,,
342,8C,6S,6D,,,,
343,5H,4S,7S,AH,,,
344,9H,9C,KD,,,,
345,7D,6H,8D,,,,
346,QD,4H,5H,,,,
347,5H,6C,7C,,,,
348,3S,JD,8C,,,,
349,QC,8C,3S,,,,
350,QC,2D,9S,,,,
351,QD,5D,6H,,,,
352,3C,8D,2C,6D,10S,,
353,4H,7H,3H,,,,
354,KD,JC,8C,,,,
355,QC,9D,10C,,,,
356,QS,4H,5C,,,,
357,5S,QD,AH,,,,
358,3D,6H,5H,,,,
359,10D,KD,7H,,,,
360,JC,KC,8H,,,,
361,9C,QC,JS,,,,
362,8D,2H,QS,6C,,,
363,3S,6D,8C,,,,
364,AS,QC,7C,4S,,,
365,5C,2C,JC,6C,,,
366,JC,10H,3C,,,,
367,5D,QS,KC,,,,
368,JD,6C,QD,,,,
369,8H,QH,QS,,,,
370,10C,AD,10H,,,,
371,3H,KD,9C,,,,
372,AC,4H,KD,4D,AS,,
