,Card0,Card1,Card2,Card3,Card4,H/S,W/L,Answer,Final,P_Score,D_Score
0,JC,6D,,,,0.0,1.0,0.0,1.0,16,9
1,10C,KS,,,,0.0,1.0,0.0,1.0,20,19
2,6D,KC,,,,0.0,1.0,0.0,1.0,16,14
3,QD,JC,,,,0.0,1.0,0.0,1.0,20,14
4,KS,QD,,,,0.0,1.0,0.0,1.0,20,16
5,3S,QC,,,,1.0,0.0,0.0,1.0,23,16
6,KD,6C,,,,0.0,1.0,0.0,1.0,16,14
7,4D,4S,,,,1.0,1.0,1.0,0.0,9,20
8,4D,4S,AD,,,0.0,1.0,0.0,1.0,19,29
9,2S,5C,,,,1.0,1.0,1.0,0.0,13,12
10,2S,5C,6H,,,1.0,0.0,0.0,1.0,23,12
11,3D,3S,,,,1.0,1.0,1.0,0.0,7,2
12,3D,3S,AH,,,0.0,1.0,0.0,1.0,17,12
13,KC,QC,,,,0.0,1.0,0.0,1.0,20,15
14,5S,QH,,,,1.0,0.0,0.0,1.0,22,17
15,KC,2S,,,,1.0,0.0,0.0,1.0,22,18
16,QD,QS,,,,0.0,1.0,0.0,1.0,20,9
17,4S,KD,,,,1.0,0.0,0.0,1.0,24,14
18,KS,10C,,,,0.0,1.0,0.0,1.0,20,13
19,10C,4H,,,,1.0,0.0,0.0,1.0,24,15
20,7H,8H,,,,1.0,0.0,0.0,1.0,25,12
21,2S,KH,,,,1.0,1.0,1.0,0.0,15,11
22,2S,KH,3C,,,1.0,0.0,0.0,1.0,24,21
23,5D,KS,,,,1.0,1.0,1.0,0.0,19,13
24,5D,KS,4D,,,0.0,1.0,0.0,1.0,19,13
25,QC,KH,,,,0.0,1.0,0.0,1.0,20,15
26,3S,AC,,,,1.0,1.0,1.0,0.0,14,20
27,3S,AC,JC,,,1.0,1.0,1.0,0.0,21,20
28,JH,8H,,,,0.0,1.0,0.0,1.0,18,15
29,5S,JD,,,,1.0,0.0,0.0,1.0,22,16
30,QS,KH,,,,0.0,1.0,0.0,1.0,20,15
31,8S,8D,,,,1.0,0.0,0.0,1.0,25,17
32,6H,AC,,,,1.0,1.0,1.0,0.0,8,18
33,6H,AC,AS,,,0.0,1.0,0.0,1.0,18,18
34,7H,KH,,,,0.0,1.0,0.0,1.0,17,15
35,5H,7C,,,,1.0,0.0,0.0,1.0,22,14
36,KS,10D,,,,0.0,1.0,0.0,1.0,20,15
37,7C,KC,,,,0.0,1.0,0.0,1.0,17,15
38,4C,6D,,,,1.0,1.0,1.0,0.0,11,14
39,4C,6D,AH,,,0.0,1.0,0.0,1.0,21,24
40,4D,QC,,,,1.0,1.0,1.0,0.0,21,20
41,7H,2H,,,,1.0,1.0,1.0,0.0,18,20
42,7H,2H,9S,,,1.0,0.0,0.0,1.0,27,20
43,10C,5D,,,,1.0,1.0,1.0,0.0,17,18
44,10C,5D,2D,,,1.0,0.0,0.0,1.0,27,18
45,6H,10C,,,,1.0,1.0,1.0,0.0,18,5
46,6H,10C,2C,,,0.0,1.0,0.0,1.0,18,15
47,5C,2H,,,,1.0,1.0,1.0,0.0,17,14
48,5C,2H,KD,,,0.0,1.0,0.0,1.0,17,27
49,3C,JC,,,,1.0,1.0,1.0,0.0,21,12
50,5S,9H,,,,1.0,1.0,1.0,0.0,19,13
51,5S,9H,5C,,,0.0,1.0,0.0,1.0,19,13
52,9H,AH,,,,0.0,0.0,1.0,1.0,20,12
53,9S,3S,,,,1.0,0.0,0.0,1.0,22,18
54,8H,2H,,,,1.0,1.0,1.0,0.0,20,15
55,8H,2H,10C,,,0.0,0.0,1.0,1.0,20,21
56,7C,5D,,,,1.0,0.0,0.0,1.0,22,12
57,5H,KS,,,,1.0,1.0,1.0,0.0,16,13
58,5H,KS,AC,,,0.0,1.0,0.0,1.0,16,13
59,7H,AS,,,,1.0,1.0,1.0,0.0,18,13
60,7H,AS,JC,,,0.0,1.0,0.0,1.0,18,13
61,6S,6C,,,,1.0,1.0,1.0,0.0,15,5
62,6S,6C,3S,,,0.0,1.0,0.0,1.0,15,15
63,7C,8S,,,,1.0,1.0,1.0,0.0,18,16
64,7C,8S,3S,,,0.0,1.0,0.0,1.0,18,26
65,QS,9C,,,,0.0,1.0,0.0,1.0,19,17
66,JS,QS,,,,0.0,1.0,0.0,1.0,20,13
67,8H,QD,,,,0.0,1.0,0.0,1.0,18,30
68,JS,7H,,,,0.0,1.0,0.0,1.0,17,8
69,5D,8H,,,,1.0,1.0,1.0,0.0,14,14
70,5D,8H,AH,,,1.0,1.0,1.0,0.0,17,14
71,5D,8H,AH,3D,,0.0,1.0,0.0,1.0,17,24
72,9D,KD,,,,0.0,1.0,0.0,1.0,19,23
73,JH,4H,,,,1.0,1.0,1.0,0.0,18,20
74,JH,4H,4D,,,0.0,0.0,1.0,1.0,18,20
75,10S,6S,,,,0.0,1.0,0.0,1.0,16,22
76,5C,7S,,,,1.0,0.0,0.0,1.0,22,15
77,AC,AS,,,,1.0,1.0,1.0,0.0,7,12
