,Show0,Show1,Show2,Show3,Card0,Card1,Card2,Card3,Card4,H/S,W/L,Answer,Final,P_Score,D_Score
0,6D,,,,7S,2D,,,,0.0,0.0,1.0,1.0,16,9
1,KS,,,,AH,8H,,,,0.0,0.0,1.0,1.0,20,9
2,KC,,,,QD,4H,,,,0.0,0.0,1.0,1.0,16,14
3,JC,,,,3H,AS,,,,0.0,0.0,1.0,1.0,20,4
4,QD,,,,QC,6S,,,,0.0,0.0,1.0,1.0,20,16
5,6C,,,,JH,4C,,,,0.0,0.0,1.0,1.0,16,14
6,4S,AD,,,10S,JD,,,,1.0,0.0,0.0,0.0,9,29
7,3S,AH,,,AC,AD,,,,0.0,0.0,1.0,1.0,7,2
8,QC,,,,4D,AD,,,,0.0,0.0,1.0,1.0,20,5
9,QS,,,,3D,6D,,,,0.0,0.0,1.0,1.0,20,9
10,10C,,,,5S,AS,,,,1.0,0.0,1.0,0.0,20,7
11,10C,,,,5S,AS,AH,,,1.0,0.0,1.0,0.0,20,13
12,10C,,,,5S,AS,AH,6S,,0.0,0.0,1.0,1.0,20,13
13,KS,4D,,,8S,5S,,,,0.0,0.0,1.0,1.0,19,13
14,KH,,,,4H,AD,,,,0.0,0.0,1.0,1.0,20,5
15,8H,,,,QD,5D,,,,0.0,0.0,1.0,1.0,18,15
16,KH,,,,5H,KC,,,,0.0,0.0,1.0,1.0,20,15
17,AC,AS,,,8S,KS,,,,0.0,0.0,1.0,1.0,8,18
18,KH,,,,3C,2S,,,,1.0,0.0,1.0,0.0,17,15
19,KH,,,,3C,2S,JS,,,0.0,0.0,1.0,1.0,17,15
20,10D,,,,5D,JC,,,,0.0,0.0,1.0,1.0,20,15
21,KC,,,,AD,QD,,,,1.0,0.0,1.0,0.0,17,15
22,KC,,,,AD,QD,4C,,,0.0,0.0,1.0,1.0,17,15
23,6D,AH,,,4D,10H,,,,1.0,0.0,0.0,0.0,11,24
24,10C,2C,,,4S,AD,,,,0.0,0.0,1.0,1.0,18,5
25,2H,KD,,,4C,JH,,,,1.0,0.0,1.0,0.0,17,15
26,2H,KD,,,4C,JH,AC,,,1.0,0.0,1.0,0.0,17,17
27,2H,KD,,,4C,JH,AC,2C,,1.0,0.0,0.0,0.0,17,27
28,9H,5C,,,3S,10S,,,,0.0,0.0,1.0,1.0,19,13
29,AH,,,,7D,AS,,,,1.0,1.0,1.0,0.0,10,12
30,AH,,,,7D,AS,4C,,,0.0,1.0,0.0,1.0,10,12
31,2H,10C,,,9C,6C,,,,1.0,1.0,1.0,0.0,20,21
32,KS,AC,,,10S,3C,,,,0.0,0.0,1.0,1.0,16,13
33,AS,JC,,,3S,KH,,,,0.0,0.0,1.0,1.0,18,13
34,6C,3S,,,AS,4D,,,,0.0,0.0,1.0,1.0,15,5
35,8S,3S,,,6H,QS,,,,1.0,0.0,0.0,0.0,18,26
36,9C,,,,3C,JH,,,,1.0,0.0,1.0,0.0,19,17
37,9C,,,,3C,JH,4S,,,0.0,0.0,1.0,1.0,19,17
38,QS,,,,KD,3S,,,,0.0,0.0,1.0,1.0,20,13
39,QD,,,,QH,JD,,,,1.0,0.0,0.0,0.0,18,30
40,7H,,,,2S,6D,,,,0.0,0.0,1.0,1.0,17,8
41,8H,AH,3D,,4S,JS,,,,1.0,0.0,0.0,0.0,17,24
42,KD,,,,2C,6S,,,,1.0,0.0,1.0,0.0,19,16
43,KD,,,,2C,6S,8S,,,1.0,0.0,0.0,0.0,19,23
44,4H,4D,,,KH,KS,,,,0.0,1.0,0.0,1.0,18,20
45,6S,,,,5H,7S,,,,1.0,0.0,0.0,0.0,16,22
46,AS,5C,,,2D,10S,,,,0.0,0.0,1.0,1.0,7,12
47,8S,,,,8C,9H,,,,1.0,0.0,0.0,0.0,16,23
48,QD,,,,8C,10S,,,,0.0,0.0,1.0,1.0,20,18
49,7C,,,,5C,4H,,,,0.0,0.0,1.0,1.0,17,9
50,10H,,,,5S,6H,,,,0.0,0.0,1.0,1.0,18,11
51,8S,6D,,,10D,AH,,,,0.0,1.0,0.0,1.0,18,11
52,6S,,,,3H,AC,,,,0.0,0.0,1.0,1.0,16,4
53,6D,,,,10C,AH,,,,1.0,1.0,1.0,0.0,7,16
54,6D,,,,10C,AH,5C,,,1.0,0.0,0.0,0.0,7,23
55,KH,,,,JS,QH,,,,1.0,0.0,0.0,0.0,20,30
56,5D,,,,KH,QD,,,,0.0,1.0,0.0,1.0,9,20
57,KH,,,,QD,4H,,,,1.0,0.0,1.0,0.0,19,16
58,KH,,,,QD,4H,2S,,,0.0,0.0,1.0,1.0,19,16
59,KS,,,,10S,4D,,,,1.0,0.0,1.0,0.0,19,17
60,KS,,,,10S,4D,3C,,,1.0,0.0,0.0,0.0,19,27
61,5S,8H,,,10H,8S,,,,0.0,1.0,0.0,1.0,16,18
62,9H,3D,,,4D,5D,,,,0.0,0.0,1.0,1.0,15,9
63,5C,8H,6C,,QD,9S,,,,1.0,0.0,1.0,0.0,20,20
64,5C,8H,6C,,QD,9S,AD,,,1.0,0.0,0.0,0.0,20,22
65,6H,5C,,,QD,10S,,,,0.0,0.0,1.0,1.0,20,20
66,3S,4D,,,KC,6D,,,,0.0,0.0,1.0,1.0,17,16
67,AS,,,,JC,10S,,,,0.0,1.0,0.0,1.0,7,20
68,2C,AC,,,QS,3S,,,,0.0,0.0,1.0,1.0,11,13
